Activation Function,Epoch,Train Loss,Validation Loss,Test Accuracy
Tanh,14,0.31184369874301815,0.3362165123057632,0.8706
Tanh,15,0.30499667565142274,0.34802712188265955,0.8706
Tanh,16,0.2995266326401032,0.36949001997709274,0.8706
Tanh,17,0.29338919069386793,0.36103944635143675,0.8706
Tanh,18,0.28809118870304934,0.34106873561399054,0.8706
Tanh,19,0.2814285514598578,0.324804317134733,0.8706
Tanh,20,0.2773131299704332,0.3257827210112121,0.8706
Tanh,21,0.27158971526734504,0.3488917187118111,0.8706
Tanh,22,0.26709086997809883,0.3474200147266586,0.8706
Tanh,23,0.26140162248643484,0.33711052093262106,0.8706
Tanh,24,0.257851111318294,0.3327753615503113,0.8706
Tanh,25,0.25344155275847424,0.3293179276164252,0.8706
ReLU,1,1.342880916858589,0.6813953284638378,0.8874
ReLU,2,0.578667996168823,0.5323865615521757,0.8874
ReLU,3,0.48629589986129973,0.4452347915393476,0.8874
ReLU,4,0.43564027894862706,0.46379285762770867,0.8874
ReLU,5,0.40138150609538714,0.41562995290794313,0.8874
ReLU,6,0.3777989056712149,0.37695315501655635,0.8874
ReLU,7,0.3568450842226688,0.37717573558941436,0.8874
ReLU,8,0.3396011431053786,0.3558312128431881,0.8874
ReLU,9,0.32269849562904274,0.4338870141595697,0.8874
ReLU,10,0.31179373307119024,0.34776389938050184,0.8874
ReLU,11,0.30135539059675587,0.3411000516063299,0.8874
ReLU,12,0.2899929398452709,0.32967043688264897,0.8874
ReLU,13,0.2802212118330249,0.397603338566451,0.8874
ReLU,14,0.26905843457272627,0.3844451006180562,0.8874
ReLU,15,0.2615931528910604,0.37582119951804227,0.8874
ReLU,16,0.2533348523240038,0.32997538831334905,0.8874
ReLU,17,0.24519106529543436,0.34864802341967727,0.8874
ReLU,18,0.23627342076844615,0.3397161113425566,0.8874
ReLU,19,0.2294659664686376,0.3074926699574192,0.8874
ReLU,20,0.2237557529615416,0.3137695444182466,0.8874
ReLU,21,0.21425756249965305,0.32675242563263296,0.8874
ReLU,22,0.20885782384492996,0.33693724869491576,0.8874
ReLU,23,0.20116045976192312,0.3220953794118886,0.8874
ReLU,24,0.19330882831159038,0.36617798602190643,0.8874
ReLU,25,0.18928614779186606,0.308589213268873,0.8874
LeakyReLU,1,1.332929702405356,0.72643558181132,0.8725
LeakyReLU,2,0.6060990071494993,0.5145440749562206,0.8725
LeakyReLU,3,0.4898888490002505,0.4762805191853557,0.8725
LeakyReLU,4,0.43701617596093006,0.43505681170442234,0.8725
LeakyReLU,5,0.4026789958383209,0.4195851274905875,0.8725
LeakyReLU,6,0.37803152577757304,0.4270950827164391,0.8725
LeakyReLU,7,0.35714577579357193,0.3772777952372837,0.8725
LeakyReLU,8,0.33820913763513033,0.35605471305096875,0.8725
LeakyReLU,9,0.32405360106686254,0.3899191873856246,0.8725
LeakyReLU,10,0.3118222503161972,0.4354840966697318,0.8725
LeakyReLU,11,0.30074280468235776,0.3286493217435698,0.8725
LeakyReLU,12,0.28953923526209896,0.33591505539969513,0.8725
LeakyReLU,13,0.27879051611027655,0.32024157616181875,0.8725
LeakyReLU,14,0.2702583588793235,0.33305887858898114,0.8725
LeakyReLU,15,0.26076156644821546,0.3124193001312379,0.8725
LeakyReLU,16,0.25338496119069964,0.33586025900972155,0.8725
LeakyReLU,17,0.24576082846158145,0.3507833671503174,0.8725
LeakyReLU,18,0.2364326989527265,0.3348134900934209,0.8725
LeakyReLU,19,0.23057585123566504,0.3407082840228995,0.8725
LeakyReLU,20,0.2231770556489207,0.3191869582730932,0.8725
LeakyReLU,21,0.2172274094692271,0.32757358166713496,0.8725
LeakyReLU,22,0.20839876739543006,0.32199325495825026,0.8725
LeakyReLU,23,0.20059059158692127,0.34830345594868684,0.8725
LeakyReLU,24,0.19460591604970084,0.376697214742819,0.8725
LeakyReLU,25,0.1875975178137555,0.35185916481402735,0.8725
SiLU,1,2.2267337532586495,1.6388421751820623,0.8547
SiLU,2,0.9029684655382628,0.7347661619559644,0.8547
SiLU,3,0.585996874263099,0.607121470827645,0.8547
SiLU,4,0.5006187575811464,0.5031265896825364,0.8547
SiLU,5,0.4589533692253223,0.45591758700986257,0.8547
SiLU,6,0.43229691485468574,0.4176394004410448,0.8547
SiLU,7,0.41393690305551656,0.4107250685270983,0.8547
SiLU,8,0.39787679811032706,0.4124795806864961,0.8547
SiLU,9,0.3852799437315664,0.401028402387715,0.8547
SiLU,10,0.37510127621397177,0.3770173998496022,0.8547
SiLU,11,0.3645347286628289,0.37955391697418955,0.8547
SiLU,12,0.3559618524239373,0.372676414803575,0.8547
SiLU,13,0.34849691110938996,0.36526599552589484,0.8547
SiLU,14,0.3414681643290506,0.38615366009572827,0.8547
SiLU,15,0.333960053394772,0.3583381537574168,0.8547
SiLU,16,0.32860768078966396,0.357721366880896,0.8547
SiLU,17,0.32117063554762953,0.3530727088594208,0.8547
SiLU,18,0.3166947826428514,0.3799165039421461,0.8547
SiLU,19,0.3110082558763195,0.34320621920850714,0.8547
SiLU,20,0.30596358545472513,0.3474329210365542,0.8547
SiLU,21,0.30006449925579176,0.35253879619530215,0.8547
SiLU,22,0.29622938403036264,0.3439395273931491,0.8547
SiLU,23,0.2909767187938752,0.33412731429353687,0.8547
SiLU,24,0.28698875342024416,0.3321341623346836,0.8547
SiLU,25,0.2818829999939894,0.3821927828553576,0.8547
