max_depth,min_samples_split,min_samples_leaf,Accuracy,Train Score,Test Score,Difference
15,3,1,0.9797857142857143,0.9945892857142857,0.9797857142857143,0.014803571428571471
15,5,1,0.9796428571428571,0.9942857142857143,0.9796428571428571,0.01464285714285718
15,5,2,0.9796428571428571,0.9938571428571429,0.9796428571428571,0.014214285714285735
15,6,2,0.9793571428571428,0.9935892857142857,0.9793571428571428,0.014232142857142915
15,2,1,0.9792857142857143,0.9946964285714286,0.9792857142857143,0.015410714285714278
15,2,2,0.9792142857142857,0.9939464285714286,0.9792142857142857,0.01473214285714286
15,3,2,0.9792142857142857,0.9939464285714286,0.9792142857142857,0.01473214285714286
15,4,2,0.9792142857142857,0.9939464285714286,0.9792142857142857,0.01473214285714286
15,6,1,0.9791428571428571,0.994125,0.9791428571428571,0.014982142857142944
15,2,5,0.9788571428571429,0.9909821428571428,0.9788571428571429,0.012124999999999941
15,3,5,0.9788571428571429,0.9909821428571428,0.9788571428571429,0.012124999999999941
15,4,5,0.9788571428571429,0.9909821428571428,0.9788571428571429,0.012124999999999941
15,5,5,0.9788571428571429,0.9909821428571428,0.9788571428571429,0.012124999999999941
15,6,5,0.9788571428571429,0.9909821428571428,0.9788571428571429,0.012124999999999941
20,6,2,0.9787857142857143,0.9960178571428572,0.9787857142857143,0.017232142857142918
20,4,2,0.9787857142857143,0.9965357142857143,0.9787857142857143,0.017750000000000044
20,2,2,0.9787857142857143,0.9965357142857143,0.9787857142857143,0.017750000000000044
20,3,2,0.9787857142857143,0.9965357142857143,0.9787857142857143,0.017750000000000044
15,2,3,0.9786428571428571,0.993375,0.9786428571428571,0.01473214285714286
15,3,3,0.9786428571428571,0.993375,0.9786428571428571,0.01473214285714286
15,6,3,0.9786428571428571,0.993375,0.9786428571428571,0.01473214285714286
15,5,3,0.9786428571428571,0.993375,0.9786428571428571,0.01473214285714286
15,4,3,0.9786428571428571,0.993375,0.9786428571428571,0.01473214285714286
15,4,4,0.9785,0.9915535714285715,0.9785,0.013053571428571442
15,6,4,0.9785,0.9915535714285715,0.9785,0.013053571428571442
15,3,4,0.9785,0.9915535714285715,0.9785,0.013053571428571442
15,2,4,0.9785,0.9915535714285715,0.9785,0.013053571428571442
15,5,4,0.9785,0.9915535714285715,0.9785,0.013053571428571442
20,5,2,0.9784285714285714,0.9961607142857143,0.9784285714285714,0.017732142857142863
25,2,5,0.9782857142857143,0.9921428571428571,0.9782857142857143,0.01385714285714279
